match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,c †Pant b Arshdeep Singh,0,1,1,0,0,0.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs England,West Indies,1,Brandon King,,23,13,23,3,1,176.92
West Indies vs England,West Indies,2,Johnson Charles,c Brook b Ali,38,34,55,4,1,111.76
West Indies vs England,West Indies,3,Nicholas Pooran,c †Buttler b Archer,36,32,53,4,1,112.50
West Indies vs England,West Indies,4,Rovman Powell,c Wood b Livingstone,36,17,18,0,5,211.76
West Indies vs England,West Indies,5,Andre Russell,c Salt b Rashid,1,2,7,0,0,50.00
West Indies vs England,West Indies,6,Sherfane Rutherford,,28,15,20,1,2,186.66
West Indies vs England,West Indies,7,Romario Shepherd,,5,7,16,1,0,71.42
West Indies vs England,England,1,Phil Salt,,87,47,79,7,5,185.10
West Indies vs England,England,2,Jos Buttler,lbw b Chase,25,22,34,2,0,113.63
West Indies vs England,England,3,Moeen Ali,c Charles b Russell,13,10,9,2,0,130.00
West Indies vs England,England,4,Jonny Bairstow,,48,26,32,5,2,184.61
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
P.N.G. vs New Zealand,Papua New Guinea,1,Tony Ura,c Phillips b Southee,1,2,6,0,0,50.00
P.N.G. vs New Zealand,Papua New Guinea,2,Assad Vala,c Mitchell b Ferguson,6,16,19,1,0,37.50
P.N.G. vs New Zealand,Papua New Guinea,3,Charles Amini,lbw b Ferguson,17,25,40,2,0,68.00
P.N.G. vs New Zealand,Papua New Guinea,4,Sese Bau,c Allen b Santner,12,27,32,1,0,44.44
P.N.G. vs New Zealand,Papua New Guinea,5,Hiri Hiri, b Boult,7,11,16,1,0,63.63
P.N.G. vs New Zealand,Papua New Guinea,6,Chad Soper, b Ferguson,1,6,4,0,0,16.66
P.N.G. vs New Zealand,Papua New Guinea,7,Kiplin Doriga, b Southee,5,7,14,1,0,71.42
P.N.G. vs New Zealand,Papua New Guinea,8,Norman Vanua,c Mitchell b Boult,14,13,15,1,1,107.69
P.N.G. vs New Zealand,Papua New Guinea,9,Alei Nao,c Mitchell b Sodhi,3,7,14,0,0,42.85
P.N.G. vs New Zealand,Papua New Guinea,10,Kabua Morea,st †Conway b Sodhi,0,3,3,0,0,0.00
P.N.G. vs New Zealand,New Zealand,1,Finn Allen,c †Doriga b Morea,0,2,3,0,0,0.00
P.N.G. vs New Zealand,New Zealand,2,Devon Conway,lbw b Kamea,35,32,45,2,3,109.37
P.N.G. vs New Zealand,New Zealand,3,Rachin Ravindra,c Kamea b Morea,6,11,15,0,0,54.54
P.N.G. vs New Zealand,New Zealand,4,Kane Williamson,,18,17,38,2,0,105.88
P.N.G. vs New Zealand,New Zealand,5,Daryl Mitchell,,19,12,13,3,0,158.33
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
South Africa vs U.S.A.,South Africa,1,Quinton de Kock,c Shayan Jahangir b Harmeet Singh,74,40,54,7,5,185.00
South Africa vs U.S.A.,South Africa,2,Reeza Hendricks,c Anderson b Netravalkar,11,11,12,0,1,100.00
South Africa vs U.S.A.,South Africa,3,Aiden Markram,c Ali Khan b Netravalkar,46,32,52,4,1,143.75
South Africa vs U.S.A.,South Africa,4,David Miller,c & b Harmeet Singh,0,1,1,0,0,0.00
South Africa vs U.S.A.,South Africa,5,Heinrich Klaasen,,36,22,35,0,3,163.63
South Africa vs U.S.A.,South Africa,6,Tristan Stubbs,,20,16,24,2,0,125.00
South Africa vs U.S.A.,United States of America,1,Steven Taylor,c Klaasen b Rabada,24,14,16,4,1,171.42
South Africa vs U.S.A.,United States of America,2,Andries Gous,,80,47,88,5,5,170.21
South Africa vs U.S.A.,United States of America,3,Nitish Kumar,c Stubbs b Rabada,8,6,9,0,1,133.33
South Africa vs U.S.A.,United States of America,4,Aaron Jones,c †de Kock b Maharaj,0,5,4,0,0,0.00
South Africa vs U.S.A.,United States of America,5,Corey Anderson, b Nortje,12,12,10,0,1,100.00
South Africa vs U.S.A.,United States of America,6,Shayan Jahangir,lbw b Shamsi,3,9,51,0,0,33.33
South Africa vs U.S.A.,United States of America,7,Harmeet Singh,c Stubbs b Rabada,38,22,30,2,3,172.72
South Africa vs U.S.A.,United States of America,8,Jasdeep Singh,,2,6,7,0,0,33.33
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs Afghanistan,West Indies,1,Brandon King, b Azmatullah Omarzai,7,6,9,1,0,116.66
West Indies vs Afghanistan,West Indies,2,Johnson Charles,c Gulbadin Naib b Naveen-ul-Haq,43,27,43,8,0,159.25
West Indies vs Afghanistan,West Indies,3,Nicholas Pooran,run out (Azmatullah Omarzai),98,53,86,6,8,184.90
West Indies vs Afghanistan,West Indies,4,Shai Hope,c Najibullah Zadran b Gulbadin Naib,25,17,14,0,2,147.05
West Indies vs Afghanistan,West Indies,5,Rovman Powell,c sub (Nangeyalia Kharote) b Gulbadin Naib,26,15,28,1,2,173.33
West Indies vs Afghanistan,West Indies,6,Andre Russell,,3,3,9,0,0,100.00
West Indies vs Afghanistan,West Indies,7,Sherfane Rutherford,,1,1,1,0,0,100.00
West Indies vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,c Russell b Hosein,0,3,1,0,0,0.00
